priority,collection_id
2,Bastheim Bayern
2,Basthorst Schleswig-Holstein
2,Bastorf Mecklenburg-Vorpommern
2,Battenberg Hessen
2,Battenberg (Pfalz) Rheinland-Pfalz
2,Battweiler Rheinland-Pfalz
2,Baudenbach Bayern
2,Bauler Rheinland-Pfalz
2,Baumgarten Mecklenburg-Vorpommern
2,Baumholder Rheinland-Pfalz
2,Baunach Bayern
2,Baunatal Hessen
2,Bausendorf Rheinland-Pfalz
2,Baustert Rheinland-Pfalz
2,Bautzen - Budyšin Sachsen
2,Bawinkel Niedersachsen
2,Bayerbach Bayern
2,Bayerbach b. Ergoldsbach Bayern
2,Bayerfeld-Steckweiler Rheinland-Pfalz
2,Bayerisch Eisenstein Bayern
2,Bayerisch Gmain Bayern
2,Bayreuth Bayern
2,Bayrischzell Bayern
2,Bebensee Schleswig-Holstein
2,Bebra Hessen
2,Becheln Rheinland-Pfalz
2,Bechenheim Rheinland-Pfalz
2,Becherbach Rheinland-Pfalz
2,Becherbach bei Kirn Rheinland-Pfalz
2,Bechhofen Bayern
2,Bechhofen Rheinland-Pfalz
2,Bechstedt Thüringen
2,Bechstedtstraß Thüringen
2,Bechtheim Rheinland-Pfalz
2,Bechtolsheim Rheinland-Pfalz
2,Bechtsrieth Bayern
2,Beckdorf Niedersachsen
2,Beckedorf Niedersachsen
2,Beckeln Niedersachsen
2,Beckingen Saarland
2,Beckum Nordrhein-Westfalen
2,Bedburg Nordrhein-Westfalen
2,Bedburg-Hau Nordrhein-Westfalen
2,Bedesbach Rheinland-Pfalz
2,Beedenbostel Niedersachsen
2,Beelen Nordrhein-Westfalen
2,Beelitz Brandenburg
2,Beendorf Sachsen-Anhalt
2,Beeskow Brandenburg
2,Beesten Niedersachsen
2,Beetzendorf Sachsen-Anhalt
2,Beetzsee Brandenburg
2,Beetzseeheide Brandenburg
2,Beggerow Mecklenburg-Vorpommern
2,Behlendorf Schleswig-Holstein
2,Behrendorf Schleswig-Holstein
2,Behrenhoff Mecklenburg-Vorpommern
2,Behren-Lübchin Mecklenburg-Vorpommern
2,Behrensdorf Schleswig-Holstein
2,Beichlingen Thüringen
2,Beidenfleth Schleswig-Holstein
2,Beiersdorf Sachsen
2,Beiersdorf-Freudenberg Brandenburg
2,Beierstedt Niedersachsen
2,Beilingen Rheinland-Pfalz
2,Beilngries Bayern
2,Beilrode Sachsen
2,Beilstein Baden-Württemberg
2,Beilstein Rheinland-Pfalz
2,Beimerstetten Baden-Württemberg
2,Beindersheim Rheinland-Pfalz
2,Beinerstadt Thüringen
2,Beinhausen Rheinland-Pfalz
2,Bekdorf Schleswig-Holstein
2,Bekmünde Schleswig-Holstein
2,Bekond Rheinland-Pfalz
2,Belau Schleswig-Holstein
2,Beldorf Schleswig-Holstein
2,Belg Rheinland-Pfalz
2,Belgern-Schildau Sachsen
2,Belgershain Sachsen
2,Belgweiler Rheinland-Pfalz
2,Bell Rheinland-Pfalz
2,Bellenberg Bayern
2,Bellheim Rheinland-Pfalz
2,Bell (Hunsrück) Rheinland-Pfalz
2,Bellingen Rheinland-Pfalz
2,Bellstedt Thüringen
2,Belm Niedersachsen
2,Belrieth Thüringen
2,Belsch Mecklenburg-Vorpommern
2,Beltheim Rheinland-Pfalz
2,Belum Niedersachsen
2,Bempflingen Baden-Württemberg
2,Bendestorf Niedersachsen
2,Bendfeld Schleswig-Holstein
2,Bendorf Rheinland-Pfalz
2,Bendorf Schleswig-Holstein
2,Benediktbeuern Bayern
2,Bengel Rheinland-Pfalz
2,Bengerstorf Mecklenburg-Vorpommern
2,Benitz Mecklenburg-Vorpommern
2,Benndorf Sachsen-Anhalt
2,Bennewitz Sachsen
2,Bennhausen Rheinland-Pfalz
